"Pay","Platit"
"Back","Zadní"
"You will be required to enter your payment details before you place an order. We accept: ", "Budete muset zadat své platební údaje. Přijímáme: "
"Order pay","pay objednávka"
"New Order Status","New Order Status"
"Name","Name"
"After payment status","After payment status"
"Merchant ID","Merchant ID"
"Secret key","Secret key"
"Secret key of merchant","Secret key of merchant"
"Currency","Currency"
"Language Fondy","Language Fondy"
"Styles","Styles"
"Sample checkoutStyles http://jsfiddle.net/8h65h91t/","Sample checkoutStyles http://jsfiddle.net/8h65h91t/"