"Pay","Оплатить"
"You will be required to enter your payment details before you place an order. We accept: ", "Вам будет необходимо ввести реквизиты платежа, прежде чем сделать заказ. Мы принимаем: "
"Back","Отменить"
"Order pay","Оплата заказа"
"New Order Status","Статус нового заказа"
"Name","Имя"
"After payment status","Статус после заказа"
"Merchant ID","ID Мерчаната"
"Secret key","Секретный ключ"
"Secret key of merchant","Секретный ключ Мерчанта"
"Currency","Валюта"
"Language Fondy","Язык Fondy"
"Styles","Стили"
"Sample checkoutStyles http://jsfiddle.net/8h65h91t/","Пример checkoutStyles http://jsfiddle.net/8h65h91t"